symbol,interval,strategy,max_sl_pct,activate_pct,trail_pct,no_trail,cooldown_candles,mask_mode,n_calls,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_wins,n_losses,sum_wins,sum_losses,avg_winner,avg_loser,breakeven_win_rate_pct,mean_bars_held,exit_initial_sl,exit_trailing_sl,exit_signal_reverse,exit_end_of_data,max_drawdown_pct,final_equity,survived,seconds
SOLUSDT,240,LORENTZIAN_default,0.03,10.0,,True,0,one_shot,70,72.703777,95.144478,22.440701,30.0,70,21,49,228.259,-155.555224,10.869476,-3.174596,22.6045,18.24,45,0,24,1,8.4899,572.703777,True,0.1
SOLUSDT,240,LORENTZIAN_default,0.05,10.0,,True,0,one_shot,70,72.551972,94.990265,22.438293,37.14,70,26,44,265.344216,-192.792244,10.205547,-4.381642,30.0376,25.13,28,0,41,1,11.0424,572.551972,True,0.1
SOLUSDT,240,LORENTZIAN_default,0.08,10.0,,True,0,one_shot,70,66.519575,88.988825,22.469251,40.0,70,28,42,273.236196,-206.716622,9.758436,-4.921824,33.5268,29.29,9,0,60,1,11.058,566.519575,True,0.1
SOLUSDT,240,LORENTZIAN_default,0.12,10.0,,True,0,one_shot,70,53.973149,76.447483,22.474334,40.0,70,28,42,273.236196,-219.263047,9.758436,-5.220549,34.8525,30.13,4,0,65,1,11.7981,553.973149,True,0.12
SOLUSDT,60,LORENTZIAN_default,0.03,10.0,,True,0,one_shot,290,-58.827227,33.982033,92.80926,30.34,290,88,202,453.510518,-512.337746,5.153529,-2.536325,32.9828,26.85,115,0,174,1,22.2814,441.172773,True,0.48
SOLUSDT,60,LORENTZIAN_default,0.05,10.0,,True,0,one_shot,290,-89.278031,3.619906,92.897937,32.07,290,93,197,480.960584,-570.238616,5.171619,-2.894612,35.8856,30.34,31,0,258,1,25.7118,410.721969,True,0.4
SOLUSDT,60,LORENTZIAN_default,0.08,10.0,,True,0,one_shot,290,-112.893607,-19.973688,92.919919,32.41,290,94,196,481.526699,-594.420306,5.122624,-3.032757,37.1872,31.09,10,0,279,1,29.2583,387.106393,True,0.34
SOLUSDT,60,LORENTZIAN_default,0.12,10.0,,True,0,one_shot,290,-123.043465,-30.119286,92.924179,32.41,290,94,196,481.526699,-604.570163,5.122624,-3.084542,37.5835,31.27,3,0,286,1,32.4192,376.956535,True,0.35
ETHUSDT,240,LORENTZIAN_default,0.03,10.0,,True,0,one_shot,76,-16.273126,7.931755,24.204881,27.63,76,21,55,145.896717,-162.169843,6.947463,-2.948543,29.7953,20.5,45,0,30,1,12.2103,483.726874,True,0.12
ETHUSDT,240,LORENTZIAN_default,0.05,10.0,,True,0,one_shot,76,8.531228,32.80378,24.272551,34.21,76,26,50,193.376645,-184.845416,7.437563,-3.696908,33.2024,26.22,20,0,55,1,8.4616,508.531228,True,0.08
