group,symbol,interval,strategy,cooldown_candles,max_sl_pct,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_initial_sl_exits,max_drawdown_pct,final_equity,survived,seconds
lorentzian,DOGEUSDT,240,LORENTZIAN_default,10,0.03,-402.702772,-311.786071,90.916701,15.85,284,119,80.5406,97.297228,False,0.1
lorentzian,DOGEUSDT,240,LORENTZIAN_default,20,0.03,-274.174195,-214.635756,59.538439,18.82,186,81,54.8348,225.825805,True,0.1
lorentzian,DOGEUSDT,240,LORENTZIAN_default,50,0.03,-117.744442,-91.164466,26.579976,25.3,83,38,23.5489,382.255558,True,0.07
lorentzian,DOGEUSDT,240,LORENTZIAN_raw,0,0.03,-400.599583,-304.250082,96.3495,17.94,301,115,80.1254,99.400417,False,0.12
lorentzian,DOGEUSDT,240,LORENTZIAN_raw,5,0.03,-402.161302,-311.001794,91.159507,21.05,285,115,80.4377,97.838698,False,0.1
lorentzian,DOGEUSDT,240,LORENTZIAN_raw,10,0.03,-400.075281,-307.585738,92.489543,19.72,289,115,80.0206,99.924719,False,0.09
lorentzian,DOGEUSDT,240,LORENTZIAN_raw,20,0.03,-290.468118,-223.904591,66.563527,20.19,208,81,58.1052,209.531882,True,0.08
lorentzian,DOGEUSDT,240,LORENTZIAN_raw,50,0.03,-154.357907,-114.026556,40.331351,19.05,126,39,30.8907,345.642093,True,0.18
lorentzian,DOGEUSDT,60,LORENTZIAN_default,0,0.03,-400.922522,-301.09498,99.827542,30.45,312,127,80.1845,99.077478,False,5.04
lorentzian,DOGEUSDT,60,LORENTZIAN_default,5,0.03,-402.451141,-293.986119,108.465022,33.63,339,128,80.4902,97.548859,False,0.28
lorentzian,DOGEUSDT,60,LORENTZIAN_default,10,0.03,-401.697958,-273.030379,128.667579,36.07,402,130,80.3396,98.302042,False,0.38
lorentzian,DOGEUSDT,60,LORENTZIAN_default,20,0.03,-400.957857,-273.913651,127.044206,35.52,397,135,80.1916,99.042143,False,0.28
lorentzian,DOGEUSDT,60,LORENTZIAN_default,50,0.03,-372.955606,-267.969921,104.985685,31.71,328,116,74.5911,127.044394,True,0.23
lorentzian,DOGEUSDT,60,LORENTZIAN_raw,0,0.03,-400.983213,-277.126057,123.857157,28.42,387,115,80.3338,99.016787,False,0.27
lorentzian,DOGEUSDT,60,LORENTZIAN_raw,5,0.03,-402.746887,-275.343608,127.40328,28.64,398,99,80.6841,97.253113,False,0.34
lorentzian,DOGEUSDT,60,LORENTZIAN_raw,10,0.03,-400.236968,-235.758017,164.478951,29.77,514,83,80.1856,99.763032,False,0.23
lorentzian,DOGEUSDT,60,LORENTZIAN_raw,20,0.03,-400.68404,-227.534114,173.149926,29.94,541,84,80.2744,99.31596,False,0.29
lorentzian,DOGEUSDT,60,LORENTZIAN_raw,50,0.03,-400.060028,-232.986965,167.073063,29.69,522,79,80.1505,99.939972,False,0.22
